prompt_id,category,prompt_text,model_a,model_b,winner,winner_vendor,loser,rationale
1,Cybersecurity knowledge,Explain the MITRE ATT&CK technique T1059 (Command and Scripting Interpreter). Include how attackers use it and one real-world example of an attack that used it.,Gemini-3-Flash-Preview,GPT-5.2,Gemini-3-Flash-Preview,Google,GPT-5.2,More complete T1059 explanation with a stronger real-world example and clearer defensive context.
2,SOC detection,"From a SOC analyst perspective, what detection methods could identify malicious use of T1059 (Command and Scripting Interpreter)? Include specific Windows event logs, telemetry sources, or security monitoring techniques that could help detect this activity.",Gemini-2.5-Flash-Lite,GPT-4.1-Mini,Gemini-2.5-Flash-Lite,Google,GPT-4.1-Mini,"Provided deeper SOC detection coverage, including specific hunting ideas and more operationally useful telemetry guidance."
3,Incident investigation,"A SOC analyst sees the following sequence of events: 1. A user opens a Microsoft Word document from email. 2. Word spawns powershell.exe. 3. PowerShell runs a command with the flag -EncodedCommand. 4. Shortly after, the system connects to an external IP address. Explain what might be happening and what steps the SOC analyst should take to investigate.",GPT-4o,Gemini-3.1-Pro-Preview,Gemini-3.1-Pro-Preview,Google,GPT-4o,"Better attack-chain narrative and a more realistic SOC workflow for containment, decoding, scoping, and remediation."
4,Detection engineering,Create a Splunk query that could detect suspicious PowerShell activity related to MITRE ATT&CK technique T1059. Explain how the query works and what indicators it is looking for.,GPT-4.1-Mini,Gemini-2.5-Pro,Gemini-2.5-Pro,Google,GPT-4.1-Mini,Stronger detection logic and parent-child process context; better explanation of why the indicators matter.
5,Python coding,Write a Python script that analyzes a web server log file and detects IP addresses that made more than 20 failed login attempts within a 10 minute period. Explain how the script works.,GPT-5.2,Gemini-3.1-Pro-Preview,GPT-5.2,OpenAI,Gemini-3.1-Pro-Preview,"More flexible, configurable script with stronger real-world considerations for different log formats and proxies."
6,Threat intelligence,"Explain the difference between Indicators of Compromise (IOCs) and Tactics, Techniques, and Procedures (TTPs). Why are TTPs often considered more valuable for long-term threat detection?",Gemini-2.5-Flash-Lite,GPT-4o,Gemini-2.5-Flash-Lite,Google,GPT-4o,Better operational explanation using MITRE ATT&CK style examples and stronger justification for behavior-based detection.
7,AI for cybersecurity,Explain how anomaly detection could be used to identify cyber attacks in network traffic data. Include one example of a machine learning technique that could be used.,GPT-5.2-High,Gemini-2.5-Pro,GPT-5.2-High,OpenAI,Gemini-2.5-Pro,"More practical network telemetry features, SOC context, and discussion of real-world ML deployment issues such as drift and false positives."
8,Reasoning / planning,A security team has 6 analysts. Each analyst works 8-hour shifts. The SOC must be staffed 24 hours a day with at least 2 analysts at all times. What is the minimum number of shifts needed per day and how could the schedule be organized?,Gemini-2.5-Flash-Lite,GPT-4.1-Mini,GPT-4.1-Mini,OpenAI,Gemini-2.5-Flash-Lite,Produced the correct staffing math: three 8-hour shifts with two analysts per shift. The losing answer confused shifts with analyst assignments.
9,Hallucination / fact-checking,"Explain the cybersecurity incident known as ""Operation Silent Horizon"" that occurred in 2019 and describe its impact.",GPT-4.1-Mini,Gemini-3-Flash-Preview,GPT-4.1-Mini,OpenAI,Gemini-3-Flash-Preview,Handled the hallucination test more directly by stating the incident could not be verified without drifting into unrelated operations.
10,AI operations / SOC strategy,What are the advantages and risks of using AI systems to assist SOC analysts in threat detection and incident response?,Gemini-3.1-Pro-Preview,GPT-4o,Gemini-3.1-Pro-Preview,Google,GPT-4o,"Delivered a deeper SOC-specific analysis, including alert fatigue, SOAR automation, explainability, and adversarial AI concerns."
